n_process,avg_bt,std_bt,best_algorithm
6,17.17,25.46,SRTF
2,6.00,1.00,FCFS
4,4.25,1.92,FCFS
4,5.25,2.95,SJF-NP
4,5.25,2.95,SJF-NP
6,6.00,3.42,FCFS
6,6.00,3.42,FCFS
6,7.00,3.42,FCFS
4,7.00,3.81,FCFS
4,7.00,3.81,FCFS
4,7.00,3.81,FCFS
4,22.25,23.89,FCFS
4,22.25,23.89,FCFS
4,22.25,23.89,FCFS
4,22.25,23.89,FCFS
4,22.25,23.89,FCFS
4,15.00,16.78,SJF-NP
4,22.25,23.89,SJF-NP
4,22.25,23.89,SJF-NP
4,6.50,1.12,SJF-NP
4,8.75,1.30,SJF-NP
4,8.00,6.93,SRTF
4,8.50,8.96,SJF-NP
4,8.00,6.93,SJF-NP
4,6.00,4.64,SJF-NP
5,6.00,2.83,SJF-NP
5,6.00,2.83,SJF-NP
4,5.00,2.24,SJF-NP
6,3.50,1.71,SJF-NP
6,3.50,1.71,SJF-NP
4,5.00,2.24,SJF-NP
4,5.00,2.24,SJF-NP
4,3.75,1.92,SJF-NP
4,3.75,1.92,SJF-NP
4,2.50,0.50,SJF-NP
4,2.50,0.50,SJF-NP
4,5.00,3.67,FCFS
4,5.00,3.67,SJF-NP
4,9.50,6.58,SRTF
4,9.50,6.58,SRTF
4,9.50,6.58,SRTF
